code;name;categoryText;categoryText2;categoryText3;categoryText4;purchasePrice;includingVat;variantVisibility;
"2011/10203";"HEAD Djokovic Backpack";Tenisové bagy > Tenisové bagy Head;;;;"928,80";"1";"0";
"2011/10206";"HEAD Murray Combi";Tenisové bagy > Tenisové bagy Head;;;;"1288,80";"1";"1";
"2011/10601";"Djokovic Dampener";Doplòky > Vibrastopy;;;;"86,40";"1";"1";
"2011/10607-26";"Head Logo II, mix";Doplòky > Vibrastopy;;;;"86,40";"1";"1";
"2011/10607-285";"Head Logo II, bk";Doplòky > Vibrastopy;;;;"86,40";"1";"1";
"2011/15935_187";"HEAD Mojo JR wh/bk/or";Tenisová obuv > Dìtská tenisová obuv;;;;"598,80";"1";"1";
"2011/15935_188";"HEAD Mojo JR wh/bk/or";Tenisová obuv > Dìtská tenisová obuv;;;;"598,80";"1";"1";
"2011/15935_264";"HEAD Mojo JR wh/bk/or";Tenisová obuv > Dìtská tenisová obuv;;;;"598,80";"1";"1";
"2011/15937_147";"HEAD Beat JR wh/bk/ocean";Tenisová obuv > Dìtská tenisová obuv;;;;"478,80";"1";"1";
"2011/15937_244";"HEAD Beat JR wh/bk/ocean";Tenisová obuv > Dìtská tenisová obuv;;;;"478,80";"1";"1";
"2011/15937_261";"HEAD Beat JR wh/bk/ocean";Tenisová obuv > Dìtská tenisová obuv;;;;"478,80";"1";"1";
"2011/15937_262";"HEAD Beat JR wh/bk/ocean";Tenisová obuv > Dìtská tenisová obuv;;;;"478,80";"1";"1";
"2011/15937_263";"HEAD Beat JR wh/bk/ocean";Tenisová obuv > Dìtská tenisová obuv;;;;"478,80";"1";"1";
"2011/15939_188";"Orchid Girl wh/d. pk";Tenisová obuv > Dìtská tenisová obuv;;;;"478,80";"1";"1";
"2011/15939_266";"Orchid Girl wh/d. pk";Tenisová obuv > Dìtská tenisová obuv;;;;"478,80";"1";"1";
"2011/15941_265";"HEAD Monster JR Velcro wh";Tenisová obuv > Dìtská tenisová obuv;;;;"478,80";"1";"1";
"2011/15941_266";"HEAD Monster JR Velcro wh";Tenisová obuv > Dìtská tenisová obuv;;;;"478,80";"1";"1";
"241076/128/130";"Pro Hurricane        12m 1,25";Výplety;;;;"145,00";"1";"1";
"241091/105/125";"RPM Blast 12m 1,25";Výplety;;;;"225,00";"1";"1";
"242091/105/125";"RPM Blast 100m 1,25";Výplety;;;;"1095,00";"1";"1";
"243076/128/130_175";"Pro Hurricane 200m Blue";Výplety;;;;"1450,00";"1";"1";
"243076/128/130_176";"Pro Hurricane 200m Blue";Výplety;;;;"1450,00";"1";"1";
"243091/105/130_175";"Babolat RPM Blast 200m";Výplety;;;;"2145,00";"1";"1";
"243091/105/130_176";"Babolat RPM Blast 200m";Výplety;;;;"2145,00";"1";"1";
"30S1102/149/UK_257";"V-PRO CLAY bíloèervená";Tenisová obuv > Pánská tenisová obuv;Výprodej!!! > Výprodej obuvi;;;"1345,00";"1";"1";
"30S1102/149/UK_258";"V-PRO CLAY bíloèervená";Tenisová obuv > Pánská tenisová obuv;Výprodej!!! > Výprodej obuvi;;;"1345,00";"1";"1";
"30S1102/149/UK_259";"V-PRO CLAY bíloèervená";Tenisová obuv > Pánská tenisová obuv;Výprodej!!! > Výprodej obuvi;;;"1345,00";"1";"1";
"30S1194/149/UK_163";"Propulse 3 Clay bíloèervená";Tenisová obuv > Pánská tenisová obuv;Výprodej!!! > Výprodej obuvi;;;"1695,00";"1";"1";
"30S1194/149/UK_85";"Propulse 3 Clay bíloèervená";Tenisová obuv > Pánská tenisová obuv;Výprodej!!! > Výprodej obuvi;;;"1695,00";"1";"1";
"314870-544_130";"WMNS CELSO GIRL THONG/BRIGHT VIOLET";Doplòky;;;;"295,00";"1";"1";
"314870-544_143";"WMNS CELSO GIRL THONG/BRIGHT VIOLET";Doplòky;;;;"295,00";"1";"1";
"314870-544_144";"WMNS CELSO GIRL THONG/BRIGHT VIOLET";Doplòky;;;;"295,00";"1";"1";
"314870-544_225";"WMNS CELSO GIRL THONG/BRIGHT VIOLET";Doplòky;;;;"295,00";"1";"1";
"314870-544_226";"WMNS CELSO GIRL THONG/BRIGHT VIOLET";Doplòky;;;;"295,00";"1";"1";
"31S1101/153/UK_260";"V-PRO LADY bílomodrá";Tenisová obuv > Dámská tenisová obuv;Výprodej!!! > Výprodej obuvi;;;"1245,00";"1";"1";
"31S1197/149/UK_140";"DRIVE LADY 2 bíloèervená";Tenisová obuv > Dámská tenisová obuv;Výprodej!!! > Výprodej obuvi;;;"1095,00";"1";"1";
"31S1197/149/UK_74";"DRIVE LADY 2 bíloèervená";Tenisová obuv > Dámská tenisová obuv;Výprodej!!! > Výprodej obuvi;;;"1095,00";"1";"1";
"32S1105/153/UK_187";"V-PRO JUNIOR bílomodrá";Tenisová obuv > Dìtská tenisová obuv;Výprodej!!! > Výprodej obuvi;;;"745,00";"1";"1";
"32S1105/153/UK_264";"V-PRO JUNIOR bílomodrá";Tenisová obuv > Dìtská tenisová obuv;Výprodej!!! > Výprodej obuvi;;;"745,00";"1";"1";
"32S1173/104/UK";"Propulse Junior 3 èervená";Tenisová obuv > Dìtská tenisová obuv;;;;"945,00";"1";"0";
"362922-405_14";"CLIO  WARM UP-DARK OBSIDIAN";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisové mikiny Nike - pánské;;;;"858,60";"1";"1";
"362922-405_15";"CLIO  WARM UP-DARK OBSIDIAN";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisové mikiny Nike - pánské;;;;"858,60";"1";"1";
"371202-010";"RF HYBRID CAP-BLACK";Pro's Equipment > Roger Federer;Doplòky;Tenisové obleèení > Tenisové obleèení Nike - doplòky > Kšilty, Èepice;;"366,40";"1";"1";
"371202-050";"RF HYBRID CAP/FLINT GREY";Pro's Equipment > Roger Federer;Doplòky;Tenisové obleèení > Tenisové obleèení Nike - doplòky > Kšilty, Èepice;;"372,60";"1";"1";
"371202-060";"RF HYBRID CAP/ANTHRACITE";Pro's Equipment > Roger Federer;Doplòky;Tenisové obleèení > Tenisové obleèení Nike - doplòky > Kšilty, Èepice;;"372,60";"1";"1";
"371202-105";"RF HYBRID CAP/WHITE";Pro's Equipment > Roger Federer;Doplòky;Tenisové obleèení > Tenisové obleèení Nike - doplòky > Kšilty, Èepice;;"372,60";"1";"0";
"371202-419";"RF HYBRID CAP/TREASURE BLUE";Pro's Equipment > Roger Federer;Doplòky;Tenisové obleèení > Tenisové obleèení Nike - doplòky > Kšilty, Èepice;;"372,60";"1";"1";
"371202-677";"RF HYBRID CAP/TEAM RED";Pro's Equipment > Roger Federer;Doplòky;Tenisové obleèení > Tenisové obleèení Nike - doplòky > Kšilty, Èepice;;"372,60";"1";"1";
"371202-703";"RF HYBRID CAP/VARSITY MAIZE";Pro's Equipment > Roger Federer;Doplòky;Tenisové obleèení > Tenisové obleèení Nike - doplòky > Kšilty, Èepice;;"372,60";"1";"1";
"371213-010";"CLASSIC SWOOSH CAP-BLACK";Doplòky;Tenisové obleèení > Tenisové obleèení Nike - doplòky > Kšilty, Èepice;;;"210,60";"1";"1";
"371213-451";"CLASSIC SWOOSH CAP/OBSIDIAN";Doplòky;Tenisové obleèení > Tenisové obleèení Nike - doplòky > Kšilty, Èepice;;;"210,60";"1";"1";
"371227-010";"NEW WS FL VISOR-BLACK";Doplòky;Tenisové obleèení > Tenisové obleèení Nike - doplòky > Kšilty, Èepice;;;"260,20";"1";"1";
"371227-100";"NEW WS FL VISOR-WHITE";Doplòky;Tenisové obleèení > Tenisové obleèení Nike - doplòky > Kšilty, Èepice;;;"260,20";"1";"1";
"371227-417";"NEW WS FL VISOR / BLUE GLOW";Doplòky;Tenisové obleèení > Tenisové obleèení Nike - doplòky > Kšilty, Èepice;;;"264,60";"1";"0";
"371227-420";"NEW WS FL VISOR/NEO TURQ";Doplòky;Tenisové obleèení > Tenisové obleèení Nike - doplòky > Kšilty, Èepice;;;"264,60";"1";"1";
"371227-695";"NEW WS FL VISOR / SCARLET FIRE";Doplòky;Tenisové obleèení > Tenisové obleèení Nike - doplòky > Kšilty, Èepice;;;"264,60";"1";"1";
"371232-470";"HERITAGE SWOOSH CAP/CHLORINE BLUE";Doplòky;Tenisové obleèení > Tenisové obleèení Nike - doplòky > Kšilty, Èepice;;;"210,60";"1";"1";
"371642-475_14";"LEGEND POLY SS TOP/DARK OBSIDIAN";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;Výprodej!!! > Obleèení a doplòky;;;"372,60";"1";"1";
"371642-475_16";"LEGEND POLY SS TOP/DARK OBSIDIAN";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;Výprodej!!! > Obleèení a doplòky;;;"372,60";"1";"1";
"371642-475_17";"LEGEND POLY SS TOP/DARK OBSIDIAN";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;Výprodej!!! > Obleèení a doplòky;;;"372,60";"1";"1";
"371642-493_15";"LEGEND POLY SS TOP/VARSITY ROYAL";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;Výprodej!!! > Obleèení a doplòky;;;"372,60";"1";"1";
"371642-493_17";"LEGEND POLY SS TOP/VARSITY ROYAL";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;Výprodej!!! > Obleèení a doplòky;;;"372,60";"1";"1";
"380078-441_14";"BOYS SS TRAINING TOP 2/CONCORD";Tenisové obleèení > Tenisové obleèení Nike - dìtské > Chlapecké;;;;"291,60";"1";"1";
"380078-441_15";"BOYS SS TRAINING TOP 2/CONCORD";Tenisové obleèení > Tenisové obleèení Nike - dìtské > Chlapecké;;;;"291,60";"1";"1";
"380078-441_16";"BOYS SS TRAINING TOP 2/CONCORD";Tenisové obleèení > Tenisové obleèení Nike - dìtské > Chlapecké;;;;"291,60";"1";"1";
